Приоритет,Шот,Таймкод,Что создать,Эмоция,Промпт Leonardo
1,45,00:04:16.000,archive map search,investigation,"Ultra photorealistic historical documentary frame. archive map search. Поиски и архивные следы. Emotion: investigation. Franklin Expedition, Arctic realism, cold blue-gray palette, BBC/Netflix documentary quality."
2,46,00:04:21.817,archive map search,investigation,"Ultra photorealistic historical documentary frame. archive map search. Поиски и архивные следы. Emotion: investigation. Franklin Expedition, Arctic realism, cold blue-gray palette, BBC/Netflix documentary quality."
3,47,00:04:27.636,archive map search,investigation,"Ultra photorealistic historical documentary frame. archive map search. Поиски и архивные следы. Emotion: investigation. Franklin Expedition, Arctic realism, cold blue-gray palette, BBC/Netflix documentary quality."
4,48,00:04:33.454,archive map search,investigation,"Ultra photorealistic historical documentary frame. archive map search. Поиски и архивные следы. Emotion: investigation. Franklin Expedition, Arctic realism, cold blue-gray palette, BBC/Netflix documentary quality."
5,49,00:04:39.273,archive map search,investigation,"Ultra photorealistic historical documentary frame. archive map search. Поиски и архивные следы. Emotion: investigation. Franklin Expedition, Arctic realism, cold blue-gray palette, BBC/Netflix documentary quality."
6,50,00:04:45.091,archive map search,investigation,"Ultra photorealistic historical documentary frame. archive map search. Поиски и архивные следы. Emotion: investigation. Franklin Expedition, Arctic realism, cold blue-gray palette, BBC/Netflix documentary quality."
7,51,00:04:50.908,archive map search,investigation,"Ultra photorealistic historical documentary frame. archive map search. Поиски и архивные следы. Emotion: investigation. Franklin Expedition, Arctic realism, cold blue-gray palette, BBC/Netflix documentary quality."
8,52,00:04:56.726,archive map search,investigation,"Ultra photorealistic historical documentary frame. archive map search. Поиски и архивные следы. Emotion: investigation. Franklin Expedition, Arctic realism, cold blue-gray palette, BBC/Netflix documentary quality."
9,53,00:05:02.545,archive map search,investigation,"Ultra photorealistic historical documentary frame. archive map search. Поиски и архивные следы. Emotion: investigation. Franklin Expedition, Arctic realism, cold blue-gray palette, BBC/Netflix documentary quality."
10,54,00:05:08.363,archive map search,investigation,"Ultra photorealistic historical documentary frame. archive map search. Поиски и архивные следы. Emotion: investigation. Franklin Expedition, Arctic realism, cold blue-gray palette, BBC/Netflix documentary quality."
11,55,00:05:14.182,archive map search,investigation,"Ultra photorealistic historical documentary frame. archive map search. Поиски и архивные следы. Emotion: investigation. Franklin Expedition, Arctic realism, cold blue-gray palette, BBC/Netflix documentary quality."
12,70,00:06:41.454,document note map,investigation,"Ultra photorealistic historical documentary frame. document note map. Записка меняет понимание катастрофы. Emotion: investigation. Franklin Expedition, Arctic realism, cold blue-gray palette, BBC/Netflix documentary quality."
13,71,00:06:47.273,document note map,investigation,"Ultra photorealistic historical documentary frame. document note map. Записка меняет понимание катастрофы. Emotion: investigation. Franklin Expedition, Arctic realism, cold blue-gray palette, BBC/Netflix documentary quality."
14,72,00:06:53.091,document note map,investigation,"Ultra photorealistic historical documentary frame. document note map. Записка меняет понимание катастрофы. Emotion: investigation. Franklin Expedition, Arctic realism, cold blue-gray palette, BBC/Netflix documentary quality."
15,73,00:06:58.908,document note map,investigation,"Ultra photorealistic historical documentary frame. document note map. Записка меняет понимание катастрофы. Emotion: investigation. Franklin Expedition, Arctic realism, cold blue-gray palette, BBC/Netflix documentary quality."
16,74,00:07:04.726,document note map,investigation,"Ultra photorealistic historical documentary frame. document note map. Записка меняет понимание катастрофы. Emotion: investigation. Franklin Expedition, Arctic realism, cold blue-gray palette, BBC/Netflix documentary quality."
17,75,00:07:10.545,document note map,investigation,"Ultra photorealistic historical documentary frame. document note map. Записка меняет понимание катастрофы. Emotion: investigation. Franklin Expedition, Arctic realism, cold blue-gray palette, BBC/Netflix documentary quality."
18,76,00:07:16.363,document note map,investigation,"Ultra photorealistic historical documentary frame. document note map. Записка меняет понимание катастрофы. Emotion: investigation. Franklin Expedition, Arctic realism, cold blue-gray palette, BBC/Netflix documentary quality."
19,77,00:07:22.182,document note map,investigation,"Ultra photorealistic historical documentary frame. document note map. Записка меняет понимание катастрофы. Emotion: investigation. Franklin Expedition, Arctic realism, cold blue-gray palette, BBC/Netflix documentary quality."
20,78,00:07:28.000,document note map,investigation,"Ultra photorealistic historical documentary frame. document note map. Записка меняет понимание катастрофы. Emotion: investigation. Franklin Expedition, Arctic realism, cold blue-gray palette, BBC/Netflix documentary quality."
21,79,00:07:33.817,document note map,investigation,"Ultra photorealistic historical documentary frame. document note map. Записка меняет понимание катастрофы. Emotion: investigation. Franklin Expedition, Arctic realism, cold blue-gray palette, BBC/Netflix documentary quality."
22,80,00:07:39.636,document note map,investigation,"Ultra photorealistic historical documentary frame. document note map. Записка меняет понимание катастрофы. Emotion: investigation. Franklin Expedition, Arctic realism, cold blue-gray palette, BBC/Netflix documentary quality."
23,81,00:07:45.454,document note map,investigation,"Ultra photorealistic historical documentary frame. document note map. Записка меняет понимание катастрофы. Emotion: investigation. Franklin Expedition, Arctic realism, cold blue-gray palette, BBC/Netflix documentary quality."
24,82,00:07:51.273,document note map,investigation,"Ultra photorealistic historical documentary frame. document note map. Записка меняет понимание катастрофы. Emotion: investigation. Franklin Expedition, Arctic realism, cold blue-gray palette, BBC/Netflix documentary quality."
25,83,00:07:57.091,document note map,investigation,"Ultra photorealistic historical documentary frame. document note map. Записка меняет понимание катастрофы. Emotion: investigation. Franklin Expedition, Arctic realism, cold blue-gray palette, BBC/Netflix documentary quality."
