№,Начало,Конец,Длительность,Блок,Что звучит/смысл,Материал,Тип,Статус,Операторское действие
1,0.0,6.237,6.24,B01,"Холодный факт исчезновения. Открыть фильм не справкой, а последствиями катастрофы.",S01_SH01_Arctic_Aerial_Master.jpg,image,assigned,Положить на V1 и растянуть по таймкоду
2,6.237,12.474,6.24,B01,"Холодный факт исчезновения. Открыть фильм не справкой, а последствиями катастрофы.",S01_SH02_Erebus_Terror_Master.jpg,image,assigned,Положить на V1 и растянуть по таймкоду
3,12.474,18.71,6.24,B01,"Холодный факт исчезновения. Открыть фильм не справкой, а последствиями катастрофы.",franklin_video_01.mp4,video,assigned,Положить на V1 и растянуть по таймкоду
4,18.71,24.947,6.24,B01,"Холодный факт исчезновения. Открыть фильм не справкой, а последствиями катастрофы.",franklin_video_02.mp4,video,assigned,Положить на V1 и растянуть по таймкоду
5,24.947,31.184,6.24,B01,"Холодный факт исчезновения. Открыть фильм не справкой, а последствиями катастрофы.",S01_SH06_Deck_Detail.jpg,image,assigned,Положить на V1 и растянуть по таймкоду
6,31.184,37.421,6.24,B01,"Холодный факт исчезновения. Открыть фильм не справкой, а последствиями катастрофы.",franklin_video_03.mp4,video,assigned,Положить на V1 и растянуть по таймкоду
7,37.421,43.034,5.61,B01,Экспедиция входит в Арктику. Показать два корабля как героев фильма и изоляцию в ледовом пространстве.,S01_SH04_Crew_Commander.jpg,image,assigned,Положить на V1 и растянуть по таймкоду
8,43.034,48.647,5.61,B01,Экспедиция входит в Арктику. Показать два корабля как героев фильма и изоляцию в ледовом пространстве.,S01_SH05_Crew_Working.jpg,image,assigned,Положить на V1 и растянуть по таймкоду
9,48.647,54.261,5.61,B01,Экспедиция входит в Арктику. Показать два корабля как героев фильма и изоляцию в ледовом пространстве.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
10,54.261,59.874,5.61,B01,Экспедиция входит в Арктику. Показать два корабля как героев фильма и изоляцию в ледовом пространстве.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
11,59.874,65.487,5.61,B01,Экспедиция входит в Арктику. Показать два корабля как героев фильма и изоляцию в ледовом пространстве.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
12,65.487,71.1,5.61,B01,Экспедиция входит в Арктику. Показать два корабля как героев фильма и изоляцию в ледовом пространстве.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
13,71.1,76.713,5.61,B01,Экспедиция входит в Арктику. Показать два корабля как героев фильма и изоляцию в ледовом пространстве.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
14,76.713,82.327,5.61,B01,Экспедиция входит в Арктику. Показать два корабля как героев фильма и изоляцию в ледовом пространстве.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
15,82.327,87.94,5.61,B01,Экспедиция входит в Арктику. Показать два корабля как героев фильма и изоляцию в ледовом пространстве.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
16,87.94,93.553,5.61,B01,Экспедиция входит в Арктику. Показать два корабля как героев фильма и изоляцию в ледовом пространстве.,MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
17,93.553,99.85,6.3,B01,"Люди на кораблях. Перевести масштаб экспедиции к людям, команде и командованию.",MISSING,,missing,"Оставить плейсхолдер, сгенерировать материал из prompt pack"
