priority,scene_id,scene_title,visual_need,reason,prompt
4,S05,Джейн Франклин и поиски,archive portrait,Шот 38 не имеет назначенного материала; нужен для сцены 'Джейн Франклин и поиски'.,"Ultra photorealistic historical documentary frame. Scene: Джейн Франклин и поиски. Required visual: archive portrait. Emotion: решимость. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
5,S05,Джейн Франклин и поиски,letter document,Шот 39 не имеет назначенного материала; нужен для сцены 'Джейн Франклин и поиски'.,"Ultra photorealistic historical documentary frame. Scene: Джейн Франклин и поиски. Required visual: letter document. Emotion: решимость. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S05,Джейн Франклин и поиски,map routes,Шот 40 не имеет назначенного материала; нужен для сцены 'Джейн Франклин и поиски'.,"Ultra photorealistic historical documentary frame. Scene: Джейн Франклин и поиски. Required visual: map routes. Emotion: решимость. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S06,Остров Бичи,grave marker,Шот 43 не имеет назначенного материала; нужен для сцены 'Остров Бичи'.,"Ultra photorealistic historical documentary frame. Scene: Остров Бичи. Required visual: grave marker. Emotion: спокойное потрясение. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S06,Остров Бичи,can archive,Шот 44 не имеет назначенного материала; нужен для сцены 'Остров Бичи'.,"Ultra photorealistic historical documentary frame. Scene: Остров Бичи. Required visual: can archive. Emotion: спокойное потрясение. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S06,Остров Бичи,grave marker,Шот 47 не имеет назначенного материала; нужен для сцены 'Остров Бичи'.,"Ultra photorealistic historical documentary frame. Scene: Остров Бичи. Required visual: grave marker. Emotion: спокойное потрясение. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S06,Остров Бичи,can archive,Шот 48 не имеет назначенного материала; нужен для сцены 'Остров Бичи'.,"Ultra photorealistic historical documentary frame. Scene: Остров Бичи. Required visual: can archive. Emotion: спокойное потрясение. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
5,S06,Остров Бичи,document note close,Шот 51 не имеет назначенного материала; нужен для сцены 'Остров Бичи'.,"Ultra photorealistic historical documentary frame. Scene: Остров Бичи. Required visual: document note close. Emotion: прикосновение к событию. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S07,Находка записки,stone cairn,Шот 52 не имеет назначенного материала; нужен для сцены 'Находка записки'.,"Ultra photorealistic historical documentary frame. Scene: Находка записки. Required visual: stone cairn. Emotion: прикосновение к событию. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S07,Находка записки,metal cylinder,Шот 53 не имеет назначенного материала; нужен для сцены 'Находка записки'.,"Ultra photorealistic historical documentary frame. Scene: Находка записки. Required visual: metal cylinder. Emotion: прикосновение к событию. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S07,Находка записки,paper reveal,Шот 54 не имеет назначенного материала; нужен для сцены 'Находка записки'.,"Ultra photorealistic historical documentary frame. Scene: Находка записки. Required visual: paper reveal. Emotion: прикосновение к событию. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
5,S07,Находка записки,document note close,Шот 55 не имеет назначенного материала; нужен для сцены 'Находка записки'.,"Ultra photorealistic historical documentary frame. Scene: Находка записки. Required visual: document note close. Emotion: прикосновение к событию. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
4,S07,Находка записки,stone cairn,Шот 56 не имеет назначенного материала; нужен для сцены 'Находка записки'.,"Ultra photorealistic historical documentary frame. Scene: Находка записки. Required visual: stone cairn. Emotion: прикосновение к событию. Cold blue-gray palette, restrained BBC/Netflix documentary realism, no fantasy, no modern objects unless the scene requires modern research tools."
