scene_id,shot_id,asset_id,decision,score,reason,action
S05,,,Создать материал: letter document,0,Шот 39 не имеет назначенного материала; нужен для сцены 'Джейн Франклин и поиски'.,generate_asset · waiting_api · leonardo
S06,,,Создать материал: document note close,0,Шот 51 не имеет назначенного материала; нужен для сцены 'Остров Бичи'.,generate_asset · waiting_api · leonardo
S07,,,Создать материал: document note close,0,Шот 55 не имеет назначенного материала; нужен для сцены 'Находка записки'.,generate_asset · waiting_api · leonardo
S07,,,Создать материал: document note close,0,Шот 59 не имеет назначенного материала; нужен для сцены 'Находка записки'.,generate_asset · waiting_api · leonardo
S07,,,Создать материал: document note map,0,Шот 61 не имеет назначенного материала; нужен для сцены 'Находка записки'.,generate_asset · waiting_api · leonardo
S08,,,Создать материал: document text,0,Шот 62 не имеет назначенного материала; нужен для сцены 'Две записи на одном листе'.,generate_asset · waiting_api · leonardo
S08,,,Создать материал: document note map,0,Шот 65 не имеет назначенного материала; нужен для сцены 'Две записи на одном листе'.,generate_asset · waiting_api · leonardo
S08,,,Создать материал: document text,0,Шот 66 не имеет назначенного материала; нужен для сцены 'Две записи на одном листе'.,generate_asset · waiting_api · leonardo
S08,,,Создать материал: document note map,0,Шот 69 не имеет назначенного материала; нужен для сцены 'Две записи на одном листе'.,generate_asset · waiting_api · leonardo
S14,,,Создать материал: medical notes,0,Шот 118 не имеет назначенного материала; нужен для сцены 'Торрингтон и масштаб исследования'.,generate_asset · waiting_api · leonardo
S14,,,Создать материал: medical notes,0,Шот 122 не имеет назначенного материала; нужен для сцены 'Торрингтон и масштаб исследования'.,generate_asset · waiting_api · leonardo
S15,,,Создать материал: sonar screen,0,Шот 136 не имеет назначенного материала; нужен для сцены 'Свинец и новая картина'.,generate_asset · waiting_api · leonardo
S16,,,Создать материал: underwater robot,0,Шот 139 не имеет назначенного материала; нужен для сцены 'Современные поиски'.,generate_asset · waiting_api · leonardo
S16,,,Создать материал: sonar screen,0,Шот 140 не имеет назначенного материала; нужен для сцены 'Современные поиски'.,generate_asset · waiting_api · leonardo
S16,,,Создать материал: underwater robot,0,Шот 143 не имеет назначенного материала; нужен для сцены 'Современные поиски'.,generate_asset · waiting_api · leonardo
S16,,,Создать материал: sonar screen,0,Шот 144 не имеет назначенного материала; нужен для сцены 'Современные поиски'.,generate_asset · waiting_api · leonardo
S05,,,Создать материал: archive portrait,0,Шот 38 не имеет назначенного материала; нужен для сцены 'Джейн Франклин и поиски'.,generate_asset · waiting_api · leonardo
S05,,,Создать материал: map routes,0,Шот 40 не имеет назначенного материала; нужен для сцены 'Джейн Франклин и поиски'.,generate_asset · waiting_api · leonardo
S06,,,Создать материал: grave marker,0,Шот 43 не имеет назначенного материала; нужен для сцены 'Остров Бичи'.,generate_asset · waiting_api · leonardo
S06,,,Создать материал: can archive,0,Шот 44 не имеет назначенного материала; нужен для сцены 'Остров Бичи'.,generate_asset · waiting_api · leonardo
S06,,,Создать материал: grave marker,0,Шот 47 не имеет назначенного материала; нужен для сцены 'Остров Бичи'.,generate_asset · waiting_api · leonardo
S06,,,Создать материал: can archive,0,Шот 48 не имеет назначенного материала; нужен для сцены 'Остров Бичи'.,generate_asset · waiting_api · leonardo
S07,,,Создать материал: stone cairn,0,Шот 52 не имеет назначенного материала; нужен для сцены 'Находка записки'.,generate_asset · waiting_api · leonardo
S07,,,Создать материал: metal cylinder,0,Шот 53 не имеет назначенного материала; нужен для сцены 'Находка записки'.,generate_asset · waiting_api · leonardo
S07,,,Создать материал: paper reveal,0,Шот 54 не имеет назначенного материала; нужен для сцены 'Находка записки'.,generate_asset · waiting_api · leonardo
S07,,,Создать материал: stone cairn,0,Шот 56 не имеет назначенного материала; нужен для сцены 'Находка записки'.,generate_asset · waiting_api · leonardo
S07,,,Создать материал: metal cylinder,0,Шот 57 не имеет назначенного материала; нужен для сцены 'Находка записки'.,generate_asset · waiting_api · leonardo
S07,,,Создать материал: paper reveal,0,Шот 58 не имеет назначенного материала; нужен для сцены 'Находка записки'.,generate_asset · waiting_api · leonardo
